2)geneName	7)otherDbsGeneIds
alr	[STRING:511145.b4053][ASAP:ABE-0013272][ECHOBASE:EB0001][OU-MICROARRAY:b4053][CGSC:1034][ECOCYC:EG10001][REFSEQ:b4053]
modB	[STRING:511145.b0764][ASAP:ABE-0002603][ECHOBASE:EB0002][OU-MICROARRAY:b0764][CGSC:18478][ECOCYC:EG10002][REFSEQ:b0764]
cysZ	[STRING:511145.b2413][ASAP:ABE-0007953][ECHOBASE:EB0003][OU-MICROARRAY:b2413][ECOCYC:EG10003][REFSEQ:b2413]
dfp	[STRING:511145.b3639][ASAP:ABE-0011896][ECHOBASE:EB0004][OU-MICROARRAY:b3639][CGSC:18430][ECOCYC:EG10004][REFSEQ:b3639]
dcuB	[STRING:511145.b4123][ASAP:ABE-0013503][ECHOBASE:EB0006][OU-MICROARRAY:b4123][CGSC:34479][ECOCYC:EG10006][REFSEQ:b4123]
hisM	[STRING:511145.b2307][ASAP:ABE-0007613][ECHOBASE:EB0007][OU-MICROARRAY:b2307][CGSC:25879][ECOCYC:EG10007][REFSEQ:b2307]
zraS	[STRING:511145.b4003][ASAP:ABE-0013088][ECHOBASE:EB0008][OU-MICROARRAY:b4003][CGSC:34249][ECOCYC:EG10008][REFSEQ:b4003]
rhsE	[ASAP:ABE-0004858][STRING:316407.1742368][ECHOBASE:EB0010][OU-MICROARRAY:b1456][CGSC:33720][ECOCYC:EG10010][REFSEQ:b1456]
yaaA	[STRING:511145.b0006][ASAP:ABE-0000018][ECHOBASE:EB0011][OU-MICROARRAY:b0006][ECOCYC:EG10011][REFSEQ:b0006]
cydC	[STRING:511145.b0886][ASAP:ABE-0003012][ECHOBASE:EB0012][OU-MICROARRAY:b0886][CGSC:17725][ECOCYC:EG10012][REFSEQ:b0886]
mepM	[STRING:511145.b1856][ASAP:ABE-0006189][ECHOBASE:EB0013][OU-MICROARRAY:b1856][ECOCYC:EG10013][REFSEQ:b1856]
acrD	[STRING:511145.b2470][ASAP:ABE-0008136][ECHOBASE:EB0014][OU-MICROARRAY:b2470][CGSC:35697][ECOCYC:EG10014][REFSEQ:b2470]
rodZ	[STRING:511145.b2516][ASAP:ABE-0008283][ECHOBASE:EB0015][OU-MICROARRAY:b2516][ECOCYC:EG10015][REFSEQ:b2516]
garL	[STRING:511145.b3126][ASAP:ABE-0010276][ECHOBASE:EB0016][OU-MICROARRAY:b3126][ECOCYC:EG10016][REFSEQ:b3126]
ispB	[MIM:614651][STRING:511145.b3187][ASAP:ABE-0010474][ECHOBASE:EB0017][OU-MICROARRAY:b3187][CGSC:35712][ECOCYC:EG10017][REFSEQ:b3187]
csrD	[STRING:511145.b3252][ASAP:ABE-0010663][ECHOBASE:EB0018][OU-MICROARRAY:b3252][ECOCYC:EG10018][REFSEQ:b3252]
cpxR	[STRING:511145.b3912][ASAP:ABE-0012774][ECHOBASE:EB0019][OU-MICROARRAY:b3912][CGSC:34166][ECOCYC:EG10020][REFSEQ:b3912]
yjiA	[STRING:511145.b4352][ASAP:ABE-0014273][ECHOBASE:EB0020][OU-MICROARRAY:b4352][ECOCYC:EG10021][REFSEQ:b4352]
aceA	[STRING:511145.b4015][ASAP:ABE-0013128][ECHOBASE:EB0021][OU-MICROARRAY:b4015][CGSC:1052][ECOCYC:EG10022][REFSEQ:b4015]
aceB	[STRING:511145.b4014][ASAP:ABE-0013125][ECHOBASE:EB0022][OU-MICROARRAY:b4014][CGSC:1051][ECOCYC:EG10023][REFSEQ:b4014]
aceE	[STRING:511145.b0114][ASAP:ABE-0000397][ECHOBASE:EB0023][OU-MICROARRAY:b0114][CGSC:1050][ECOCYC:EG10024][REFSEQ:b0114]
aceF	[MIM:248600][STRING:511145.b0115][ASAP:ABE-0000400][ECHOBASE:EB0024][OU-MICROARRAY:b0115][CGSC:26530][ECOCYC:EG10025][REFSEQ:b0115]
aceK	[STRING:511145.b4016][ASAP:ABE-0013131][ECHOBASE:EB0025][OU-MICROARRAY:b4016][CGSC:17770][ECOCYC:EG10026][REFSEQ:b4016]
ackA	[STRING:511145.b2296][ASAP:ABE-0007579][ECHOBASE:EB0026][OU-MICROARRAY:b2296][CGSC:1048][ECOCYC:EG10027][REFSEQ:b2296]
pflA	[STRING:511145.b0902][ASAP:ABE-0003068][ECHOBASE:EB0027][OU-MICROARRAY:b0902][CGSC:35839][ECOCYC:EG10028][REFSEQ:b0902]
ada	[STRING:511145.b2213][ASAP:ABE-0007311][ECHOBASE:EB0028][OU-MICROARRAY:b2213][CGSC:1043][ECOCYC:EG10029][REFSEQ:b2213]
add	[MIM:102700][STRING:511145.b1623][ASAP:ABE-0005435][ECHOBASE:EB0029][OU-MICROARRAY:b1623][CGSC:1042][ECOCYC:EG10030][REFSEQ:b1623]
adhE	[STRING:511145.b1241][ASAP:ABE-0004164][ECHOBASE:EB0030][OU-MICROARRAY:b1241][CGSC:1041][ECOCYC:EG10031][REFSEQ:b1241]
adk	[MIM:267500][STRING:511145.b0474][ASAP:ABE-0001645][ECHOBASE:EB0031][OU-MICROARRAY:b0474][CGSC:1040][ECOCYC:EG10032][REFSEQ:b0474]
agp	[STRING:511145.b1002][ASAP:ABE-0003388][ECHOBASE:EB0032][OU-MICROARRAY:b1002][CGSC:31830][ECOCYC:EG10033][REFSEQ:b1002]
