1)riId	2)riType	3)regulatorId	4)regulatorName	5)cnfName	19)targetTuOrGene	27)riPMIDS 
RDBECOLIRIC00001	tf-promoter	RDBECOLITFC00023	GadW	GadW	RDBECOLITUC03133:slp-dctR	12730179;18808381 
RDBECOLIRIC00002	tf-promoter	RDBECOLITFC00023	GadW	GadW	RDBECOLITUC03315:hdeAB-yhiD	12730179;18083817;18808381 
RDBECOLIRIC00003	tf-promoter	RDBECOLITFC00088	GalR	GalR-D-galactose	RDBECOLITUC02515:galP	19007420 
RDBECOLIRIC00004	tf-promoter	RDBECOLITFC00033	GalS	GalS-D-galactose	RDBECOLITUC02515:galP	19007420 
RDBECOLIRIC00005	tf-promoter	RDBECOLITFC00088	GalR	GalR-D-galactose	RDBECOLITUC02515:galP	19007420 
RDBECOLIRIC00006	tf-promoter	RDBECOLITFC00033	GalS	GalS-D-galactose	RDBECOLITUC02515:galP	19007420 
RDBECOLIRIC00007	tf-promoter	RDBECOLITFC00088	GalR	GalR-D-galactose	RDBECOLITUC02515:galP	19007420 
RDBECOLIRIC00008	tf-promoter	RDBECOLITFC00033	GalS	GalS-D-galactose	RDBECOLITUC02515:galP	19007420 
RDBECOLIRIC00009	tf-promoter	RDBECOLITFC00088	GalR	GalR-D-galactose	RDBECOLITUC02515:galP	19007420 
RDBECOLIRIC00010	tf-promoter	RDBECOLITFC00033	GalS	GalS-D-galactose	RDBECOLITUC02515:galP	19007420 
RDBECOLIRIC00014	tf-promoter	RDBECOLITFC00027	NagC	NagC	RDBECOLITUC02515:galP	19007420;34824476 
RDBECOLIRIC00018	tf-promoter	RDBECOLITFC00168	YefMB	YefMB	RDBECOLITUC00725:yefM-yoeB	17170003;33260607 
RDBECOLIRIC00020	tf-promoter	RDBECOLITFC00187	GadX	GadX	RDBECOLITUC03315:hdeAB-yhiD	12730179;18083817 
RDBECOLIRIC00021	tf-promoter	RDBECOLITFC00187	GadX	GadX	RDBECOLITUC03315:hdeAB-yhiD	12730179;18083817 
RDBECOLIRIC00022	tf-promoter	RDBECOLITFC00077	GadE	GadE	RDBECOLITUC03315:hdeAB-yhiD	14702398;18083817;26258987 
RDBECOLIRIC00023	tf-promoter	RDBECOLITFC00023	GadW	GadW	RDBECOLITUC03315:hdeAB-yhiD	12730179;18083817 
RDBECOLIRIC00024	tf-promoter	RDBECOLITFC00181	EvgA	DNA-binding transcriptional activator EvgA-phosphorylated	RDBECOLITUC02553:yegRZ	12694615;19352034 
RDBECOLIRIC00025	tf-promoter	RDBECOLITFC00159	MurR	DNA-binding transcriptional dual regulator MurR	RDBECOLITUC01718:murQP	18723630;35640608;34824476 
RDBECOLIRIC00026	tf-promoter	RDBECOLITFC00159	MurR	DNA-binding transcriptional dual regulator MurR	RDBECOLITUC01719:murQP	18723630;35640608;34824476 
RDBECOLIRIC00027	tf-promoter	RDBECOLITFC00057	Cra	DNA-binding transcriptional dual regulator Cra	RDBECOLITUC03049:aroP	18648770;21115656;29394395;34824476 
RDBECOLIRIC00028	tf-promoter	RDBECOLITFC00057	Cra	DNA-binding transcriptional dual regulator Cra	RDBECOLITUC03647:aroP	18648770;21115656;29394395;34824476 
RDBECOLIRIC00029	tf-promoter	RDBECOLITFC00057	Cra	DNA-binding transcriptional dual regulator Cra	RDBECOLITUC03231:manXYZ	18648770;29394395;21115656;26843427;34824476 
RDBECOLIRIC00030	tf-promoter	RDBECOLITFC00189	CRP	CRP-cyclic-AMP DNA-binding transcriptional dual regulator	RDBECOLITUC03222:malI	15520470 
RDBECOLIRIC00031	tf-promoter	RDBECOLITFC00014	Lrp	DNA-binding transcriptional dual regulator Lrp-L-leucine	RDBECOLITUC00784:yojI	19074390 
RDBECOLIRIC00032	tf-promoter	RDBECOLITFC00014	Lrp	DNA-binding transcriptional dual regulator Lrp-L-leucine	RDBECOLITUC00784:yojI	19074390 
RDBECOLIRIC00033	tf-promoter	RDBECOLITFC00014	Lrp	DNA-binding transcriptional dual regulator Lrp-L-leucine	RDBECOLITUC00784:yojI	19074390 
RDBECOLIRIC00034	tf-promoter	RDBECOLITFC00014	Lrp	DNA-binding transcriptional dual regulator Lrp-L-leucine	RDBECOLITUC00784:yojI	19074390 
RDBECOLIRIC00035	tf-promoter	RDBECOLITFC00014	Lrp	DNA-binding transcriptional dual regulator Lrp-L-leucine	RDBECOLITUC00784:yojI	19074390 
RDBECOLIRIC00036	tf-promoter	RDBECOLITFC00014	Lrp	DNA-binding transcriptional dual regulator Lrp-L-leucine	RDBECOLITUC00784:yojI	19074390 
RDBECOLIRIC00046	tf-promoter	RDBECOLITFC00001	ExuR	ExuR	RDBECOLITUC03185:exuT	11115104;26843427 
