1)tuId,2)tuName,3)operonName,4)tuGenes
RDBECOLITUC00080,yjtD,yjtD,yjtD;
RDBECOLITUC00081,yaaX,yaaX,yaaX;
RDBECOLITUC00082,yaaA,yaaA,yaaA;
RDBECOLITUC00083,yaaJ,yaaJ,yaaJ;
RDBECOLITUC00084,mog,mog,mog;
RDBECOLITUC00085,satP,satP,satP;
RDBECOLITUC00086,yaaW,yaaW,yaaW;
RDBECOLITUC00087,insL1,insL1,insL1;
RDBECOLITUC00088,mokC-hokC,mokC-hokC,mokC;hokC;
RDBECOLITUC00089,sokC,sokC,sokC;
RDBECOLITUC00090,insA1B1AB1,insA1B1AB1,insA1;insB1;insAB1;
RDBECOLITUC00091,rihC,rihC,rihC;
RDBECOLITUC00092,yaaU,yaaU,yaaU;
RDBECOLITUC00093,kefFC,kefFC,kefC;kefF;
RDBECOLITUC00094,djlA,djlA,djlA;
RDBECOLITUC00095,yabPQ,yabPQ,yabQ;yabP;
RDBECOLITUC00096,yabI,yabI,yabI;
RDBECOLITUC00097,sgrR-sroA-thiBPQ,sgrR-sroA-thiBPQ,sgrR;sroA;thiB;thiP;thiQ;
RDBECOLITUC00098,sgrST-setA,sgrST-setA,sgrT;setA;sgrS;
RDBECOLITUC00099,leuO,leuO,leuO;
RDBECOLITUC00100,cra,cra,cra;
RDBECOLITUC00101,lpxC,mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,lpxC;
RDBECOLITUC00102,coaE-zapD-yacG,coaE-zapD-yacG,coaE;zapD;yacG;
RDBECOLITUC00103,ppdD-hofBC,ppdD-hofBC,ppdD;hofB;hofC;
RDBECOLITUC00104,nadC,nadC,nadC;
RDBECOLITUC00105,yacL,yacL,yacL;
RDBECOLITUC00106,yadGH,yadGH,yadH;yadG;
RDBECOLITUC00107,yadI,yadI,yadI;
RDBECOLITUC00108,yadE,yadE,yadE;
RDBECOLITUC00109,yadC,yadMLKC,yadC;
RDBECOLITUC00110,hrpB,hrpB,hrpB;
RDBECOLITUC00111,uof-fur,fldA-uof-fur,uof;fur;
RDBECOLITUC00112,mrcB,mrcB,mrcB;
RDBECOLITUC00113,clcA,clcA,clcA;
RDBECOLITUC00114,mnt-btuF-yadS,mnt-btuF-yadS,mtn;btuF;yadS;
RDBECOLITUC00115,dgt,dgt,dgt;
RDBECOLITUC00116,yaeH,yaeH,yaeH;
RDBECOLITUC00117,yaeI,yaeI,yaeI;
RDBECOLITUC00118,map-glnD-dapD,map-glnD-dapD,map;glnD;dapD;
RDBECOLITUC00119,fldA-uof-fur,fldA-uof-fur,uof;fur;fldA;
RDBECOLITUC00120,dxr-uppS-cdsA,dxr-uppS-cdsA,cdsA;ispU;dxr;
RDBECOLITUC00121,yaeR,yaeR,yaeR;
RDBECOLITUC00122,tilS,tilS,tilS;
RDBECOLITUC00123,yaeP-rof,yaeP-rof,yaeP;rof;
RDBECOLITUC00124,yaeQ-arfB-nlpE,yaeQ-arfB-nlpE,nlpE;arfB;yaeQ;
RDBECOLITUC00125,yaeF,yaeF,yaeF;
RDBECOLITUC00126,rcsF-trmO,rcsF-trmO,rcsF;trmO;
RDBECOLITUC00127,gmhB,gmhB,gmhB;
RDBECOLITUC00128,dkgB,dkgB,dkgB;
RDBECOLITUC00129,fur,fldA-uof-fur,fur;
RDBECOLITUC00130,yafDE,yafDE,yafE;yafD;
RDBECOLITUC00131,mltD,mltD,mltD;
RDBECOLITUC00132,gloB,gloB,gloB;
RDBECOLITUC00133,dnaQ,dnaQ,dnaQ;
RDBECOLITUC00134,yafT,yafT,yafT;
RDBECOLITUC00135,gmhA,gmhA,gmhA;
RDBECOLITUC00136,yafJ,yafJ,yafJ;
RDBECOLITUC00137,ldtF,ldtF,dpaA;
RDBECOLITUC00138,dinJ-yafQ,dinJ-yafQ,dinJ;yafQ;
RDBECOLITUC00139,yafL,yafL,yafL;
RDBECOLITUC00140,rayT,rayT,rayT;
RDBECOLITUC00141,lafU,lafU,lafU;
RDBECOLITUC00142,dinB-yafNOP,dinB-yafNOP,yafP;yafO;yafN;dinB;
RDBECOLITUC00143,yafNOP,dinB-yafNOP,yafP;yafO;yafN;
RDBECOLITUC00144,ykfJ-prfH,ykfJ-prfH,prfH;ykfJ;
RDBECOLITUC00145,frsA,frsA,frsA;
RDBECOLITUC00146,yafY-ykfBF-yafX-ykfGH-yafW-ykfI,yafY-ykfBF-yafX-ykfGH-yafW-ykfI,yafY;ykfB;ykfF;yafX;ykfG;ykfH;yafW;ykfI;
RDBECOLITUC00147,ykfA-yafZ,ykfA-yafZ,ykfA;yafZ;
RDBECOLITUC00148,perR,perR,perR;
RDBECOLITUC00149,None,insNI1,insI1;insN;
RDBECOLITUC00150,ykfC,ykfC,ykfC;
RDBECOLITUC00151,mmuPM,mmuPM,mmuM;mmuP;
RDBECOLITUC00152,insA2B2AB2-afuBC,insA2B2AB2-afuBC,insA2;insB2;insAB2;afuB;afuC;
RDBECOLITUC00153,yagAB-insX,yagAB-insX,yagA;yagB;insX;
RDBECOLITUC00154,yagEF,yagEF,yagF;yagE;
RDBECOLITUC00155,yagGH,yagGH,yagH;yagG;
RDBECOLITUC00156,xynR,argF-xynR,xynR;
RDBECOLITUC00157,insA3B3AB3,insA3B3AB3,insA3;insB3;insAB3;
RDBECOLITUC00158,yagK,yagK,yagK;
RDBECOLITUC00159,yagML,yagML,yagM;yagL;
RDBECOLITUC00160,yagN,yagN,yagN;
RDBECOLITUC00161,intF,intF,intF;
RDBECOLITUC00162,yagP,yagP,yagP;
RDBECOLITUC00163,paoABCD,paoABCD,paoA;paoB;paoC;paoD;
RDBECOLITUC00164,ykgJ,ykgJ,ykgJ;
RDBECOLITUC00165,ecpBCDE,ecpBCDE,ecpB;ecpC;ecpD;ecpE;
RDBECOLITUC00166,ecpA,ecpA,ecpA;
RDBECOLITUC00167,ecpR,ecpR,matA;
RDBECOLITUC00168,ykgMO,ykgMO,ykgM;ykgO;
RDBECOLITUC00169,eaeH-insE1EF1F1,eaeH-insE1EF1F1,insF1;insE1;insEF1;eaeH;
RDBECOLITUC00170,ykgA,ykgA,ykgA;
RDBECOLITUC00171,rclBC,rclABC,rclB;rclC;
RDBECOLITUC00172,rclABC,rclABC,rclC;rclB;rclA;
RDBECOLITUC00173,rclR,rclR,rclR;
RDBECOLITUC00174,ykgEFG,ykgEFG,ykgG;ykgF;ykgE;
RDBECOLITUC00175,ykgH,ykgH,ykgH;
RDBECOLITUC00176,pdeL,pdeL,pdeL;
RDBECOLITUC00177,yahB,yahB,yahB;
