	GeneName	IdsFromOtherDbs
0	alr	b4053
1	modB	b0764
2	cysZ	b2413
3	dfp	b3639
4	dcuB	b4123
5	hisM	b2307
6	zraS	b4003
7	rhsE	b1456
8	yaaA	b0006
9	cydC	b0886
10	mepM	b1856
11	acrD	b2470
12	rodZ	b2516
13	garL	b3126
14	ispB	b3187
15	csrD	b3252
16	cpxR	b3912
17	yjiA	b4352
18	aceA	b4015
19	aceB	b4014
20	aceE	b0114
21	aceF	b0115
22	aceK	b4016
23	ackA	b2296
24	pflA	b0902
25	ada	b2213
26	add	b1623
27	adhE	b1241
28	adk	b0474
29	agp	b1002
30	alaS	b2697
31	aldA	b1415
32	puuC	b1300
33	alkB	b2212
34	amn	b1982
35	ampC	b4150
36	ampD	b0110
37	ampE	b0111
38	cysQ	b4214
39	osmE	b1739
40	ansA	b1767
41	ansB	b2957
42	apaG	b0050
43	apaH	b0049
44	appA	b0980
45	appY	b0564
46	apt	b0469
47	araA	b0062
48	araB	b0063
49	araC	b0064
50	araD	b0061
51	araE	b2841
52	araF	b1901
53	araG	b1900
54	araH	b4460
55	araJ	b0396
56	arcA	b4401
57	arcB	b3210
58	argA	b2818
59	argB	b3959
60	argC	b3958
61	argD	b3359
62	argF	b0273
63	argG	b3172
64	argI	b4254
65	argR	b3237
66	argS	b1876
67	argT	b2310
68	aroA	b0908
69	aroB	b3389
70	aroC	b2329
71	aroD	b1693
72	aroE	b3281
73	aroF	b2601
74	aroG	b0754
75	aroH	b1704
76	aroK	b3390
77	aroL	b0388
78	aroM	b0390
79	aroP	b0112
80	ascB	b2716
81	ascF	b2715
82	ascG	b2714
83	asd	b3433
84	aslA	b3801
85	aslB	b3800
86	asnA	b3744
87	asnB	b0674
88	asnC	b3743
89	asnS	b0930
90	aspA	b4139
91	aspC	b0928
92	aspS	b1866
93	atpA	b3734
94	atpB	b3738
95	atpC	b3731
96	atpD	b3732
97	atpE	b3737
98	atpF	b3736
99	atpG	b3733
100	atpH	b3735
101	atpI	b3739
102	avtA	b3572
103	bcp	b2480
104	betA	b0311
105	betB	b0312
106	betI	b0313
107	betT	b0314
108	bfr	b3336
109	bglB	b3721
110	bglF	b3722
111	bglG	b3723
112	bioA	b0774
113	bioB	b0775
114	bioC	b0777
115	bioD	b0778
116	bioF	b0776
117	bioH	b3412
118	birA	b3973
119	bisC	b3551
120	bolA	b0435
121	btuB	b3966
122	btuC	b1711
123	btuD	b1709
124	btuE	b1710
125	btuR	b1270
126	cadA	b4131
127	cadB	b4132
128	cadC	b4133
129	carA	b0032
130	carB	b0033
131	cca	b3056
132	cdd	b2143
133	cdh	b3918
134	cdsA	b0175
135	chbB	b1738
136	chbC	b1737
137	chbA	b1736
138	chbR	b1735
139	chbF	b1734
140	creD	b4400
141	cheA	b1888
142	cheA	b1888
143	cheB	b1883
144	cheR	b1884
145	cheW	b1887
146	cheY	b1882
147	cheZ	b1881
148	modC	b0765
149	moeA	b0827
150	moeB	b0826
151	cirA	b2155
152	clpA	b0882
153	clpB	b2592
154	clpB	b2592
155	clpP	b0437
156	clpX	b0438
157	cpdB	b4213
158	cpsB	b2049
159	cpsG	b2048
160	cpxA	b3911
161	crp	b3357
162	crr	b2417
163	cspA	b3556
164	cstA	b0598
165	lnt	b0657
166	cvpA	b2313
167	cyaA	b3806
168	cybB	b1418
169	cydA	b0733
170	cydB	b0734
171	cynS	b0340
172	cynT	b0339
173	cynX	b0341
174	cyoA	b0432
175	cyoB	b0431
176	cyoC	b0430
177	cyoD	b0429
178	cyoE	b0428
179	cysA	b2422
180	cysB	b1275
181	cysC	b2750
182	cysD	b2752
183	cysE	b3607
184	cysG	b3368
185	cysH	b2762
186	cysI	b2763
187	cysJ	b2764
188	cysK	b2414
189	cysM	b2421
190	cysN	b2751
191	cysP	b2425
192	cysS	b0526
193	cysU	b2424
194	cysW	b2423
195	cytR	b3934
196	dacA	b0632
197	dacB	b3182
198	dacC	b0839
199	dam	b3387
200	dapA	b2478
201	dapB	b0031
202	dapD	b0166
203	dapE	b2472
204	dapF	b3809
205	dbpA	b1343
206	dcm	b1961
207	dcp	b1538
208	ddlA	b0381
209	ddlB	b0092
210	deaD	b3162
211	dedA	b2317
212	accD	b2316
213	dedD	b2314
214	deoA	b4382
215	deoB	b4383
216	deoC	b4381
217	deoD	b4384
218	deoR	b0840
219	dgkA	b4042
220	dgt	b0160
221	dicA	b1570
222	dicB	b1575
223	dicC	b1569
224	flk	b2321
225	dksA	b0145
226	dld	b2133
227	dmsA	b0894
228	dmsB	b0895
229	dmsC	b0896
230	dnaA	b3702
231	dnaB	b4052
232	dnaC	b4361
233	dnaE	b0184
234	dnaG	b3066
235	dnaJ	b0015
236	dnaK	b0014
237	dnaN	b3701
238	dnaQ	b0215
239	dnaT	b4362
240	dnaX	b0470
241	dnaX	b0470
242	mltD	b0211
243	acpS	b2563
244	dppA	b3544
245	dsdA	b2366
246	dsdX	b2365
247	dut	b3640
248	ebgA	b3076
249	ebgC	b3077
250	ebgR	b3075
251	eco	b2209
252	eda	b1850
253	edd	b1851
254	eno	b2779
255	entA	b0596
256	entB	b0595
257	entC	b0593
258	entD	b0583
259	entE	b0594
260	entF	b0586
261	lpxC	b0096
262	acrE	b3265
263	acrF	b3266
264	envY	b0566
265	envZ	b3404
266	era	b2566
267	exbB	b3006
268	exbD	b3005
269	fabA	b0954
270	fabB	b2323
271	accB	b3255
272	accC	b3256
273	fabH	b1091
274	fadA	b3845
275	fadB	b3846
276	fadL	b2344
277	fadR	b1187
278	fbaA	b2925
279	fbp	b4232
280	fdhE	b3891
281	fdhF	b4079
282	fecA	b4291
283	fecB	b4290
284	fecC	b4289
285	fecD	b4288
286	fecE	b4287
287	fecI	b4293
288	fecR	b4292
289	fepA	b0584
290	fepB	b0592
291	fepC	b0588
292	fepD	b0590
293	fepE	b0587
294	fepG	b0589
295	fes	b0585
296	ffh	b2610
297	fhlA	b2731
298	fhuA	b0150
299	fhuB	b0153
300	fhuC	b0151
301	fhuD	b0152
302	fhuE	b1102
303	fic	b3361
304	fimA	b4314
305	fimB	b4312
306	fimC	b4316
307	fimD	b4317
308	fimE	b4313
309	fimF	b4318
310	fimG	b4319
311	fimH	b4320
312	lpxD	b0179
313	fis	b3261
314	fldA	b0684
315	flhC	b1891
316	flhD	b1892
317	fliC	b1923
318	fliL	b1944
319	fliM	b1945
320	fliN	b1946
321	fnr	b1334
322	folA	b0048
323	folC	b2315
324	folD	b0529
325	mutM	b3635
326	frdA	b4154
327	frdB	b4153
328	frdC	b4152
329	frdD	b4151
330	fre	b3844
331	frr	b0172
332	fruA	b2167
333	fruK	b2168
334	cra	b0080
335	ftsA	b0094
336	ftsE	b3463
337	ftsI	b0084
338	ftsQ	b0093
339	rsmD	b3465
340	ftsW	b0089
341	ftsX	b3462
342	ftsY	b3464
343	ftsZ	b0095
344	fucA	b2800
345	fucI	b2802
346	fucK	b2803
347	fucO	b2799
348	fucP	b2801
349	fucR	b2805
350	fucU	b2804
351	fumA	b1612
352	fumB	b4122
353	fumC	b1611
354	fur	b0683
355	fusA	b3340
356	gabT	b2662
357	galE	b0759
358	galK	b0757
359	galR	b2837
360	galS	b2151
361	galT	b0758
362	gapA	b1779
363	epd	b2927
364	gcd	b0124
365	ispG	b2515
366	gcvH	b2904
367	gdhA	b1761
368	mokC	b0018
369	ggt	b3447
370	mnmG	b3741
371	rsmG	b3740
372	glgA	b3429
373	glgB	b3432
374	glgC	b3430
375	glgP	b3428
376	glgX	b3431
377	glmS	b3729
378	glnA	b3870
379	glnB	b2553
380	glnG	b3868
381	glnH	b0811
382	glnL	b3869
383	glnP	b0810
384	glnQ	b0809
385	glnS	b0680
386	glpA	b2241
387	glpB	b2242
388	glpC	b2243
389	glpD	b3426
390	glpE	b3425
391	glpF	b3927
392	glpG	b3424
393	glpK	b3926
394	glpQ	b2239
395	glpR	b3423
396	glpT	b2240
397	gltA	b0720
398	gltB	b3212
399	gltD	b3213
400	gltP	b4077
401	gltS	b3653
402	gltX	b2400
403	glyA	b2551
404	glyQ	b3560
405	glyS	b3559
406	gnd	b2029
407	gor	b3500
408	gpp	b3779
409	gpt	b0238
410	greA	b3181
411	grpE	b2614
412	grxA	b0849
413	gshA	b2688
414	gshB	b2947
415	guaA	b2507
416	guaB	b2508
417	guaC	b0104
418	gyrA	b2231
419	gyrB	b3699
420	hdhA	b1619
421	helD	b0962
422	hemA	b1210
423	hemB	b0369
424	hemC	b3805
425	hemD	b3804
426	hemH	b0475
427	hemL	b0154
428	hemX	b3803
429	hemY	b3802
430	hflC	b4175
431	hflK	b4174
432	hflX	b4173
433	hfq	b4172
434	hha	b0460
435	ihfA	b1712
436	ihfB	b0912
437	hipB	b1508
438	hipA	b1507
439	hisA	b2024
440	hisB	b2022
441	hisC	b2021
442	hisD	b2020
443	hisF	b2025
444	hisG	b2019
445	hisH	b2023
446	hisI	b2026
447	hisP	b2306
448	hisS	b2514
449	truA	b2318
450	skp	b0178
451	hmp	b2552
452	hns	b1237
453	hsdM	b4349
454	hsdR	b4350
455	hsdS	b4348
456	htpG	b0473
457	htpX	b1829
458	degP	b0161
459	lpxL	b1054
460	ribB	b3041
461	hupA	b4000
462	hupB	b0440
463	hyaA	b0972
464	hyaB	b0973
465	hyaC	b0974
466	hyaD	b0975
467	hyaE	b0976
468	hyaF	b0977
469	hycA	b2725
470	hycB	b2724
471	hycC	b2723
472	hycD	b2722
473	hycE	b2721
474	hycF	b2720
475	hycG	b2719
476	hycH	b2718
477	zraR	b4004
478	hypA	b2726
479	hypB	b2727
480	hypC	b2728
481	hypD	b2729
482	hypE	b2730
483	iap	b2753
484	icd	b1136
485	argP	b2916
486	iclR	b4018
487	ileS	b0026
488	ilvA	b3772
489	ilvB	b3671
490	ilvC	b3774
491	ilvD	b3771
492	ilvE	b3770
493	ilvH	b0078
494	ilvI	b0077
495	ilvM	b3769
496	ilvN	b3670
497	ilvY	b3773
498	infA	b0884
499	infB	b3168
500	infB	b3168
501	infB	b3168
502	infC	b1718
503	intD	b0537
504	ispA	b0421
505	katE	b1732
506	rpoS	b2741
507	katG	b3942
508	kbl	b3617
509	kdpA	b0698
510	kdpB	b0697
511	kdpC	b0696
512	kdpD	b0695
513	kdpE	b0694
514	kdsA	b1215
515	kdsB	b0918
516	waaA	b3633
517	kefC	b0047
518	kgtP	b2587
519	rsmA	b0051
520	lacA	b0342
521	lacI	b0345
522	lacY	b0343
523	lacZ	b0344
524	lamB	b4036
525	lepA	b2569
526	lepB	b2568
527	leuO	b0076
528	leuS	b0642
529	lexA	b4043
530	ligA	b2411
531	lit	b1139
532	livF	b3454
533	livG	b3455
